Fecha,Último
22/12/2016,"5.171,40"
21/12/2016,"5.132,80"
20/12/2016,"5.265,70"
19/12/2016,"5.284,00"
16/12/2016,"5.337,50"
15/12/2016,"5.262,40"
14/12/2016,"5.224,90"
13/12/2016,"5.333,70"
12/12/16,"5.280,60"
9/12/16,"5.278,00"
7/12/16,"5.278,80"
6/12/16,"5.253,30"
5/12/16,"5.381,30"
2/12/16,"5.389,40"
1/12/16,"5.308,00"
30/11/2016,"5.319,20"
29/11/2016,"5.240,40"
28/11/2016,"5.298,40"
25/11/2016,"5.177,80"
24/11/2016,"5.123,40"
23/11/2016,"5.265,00"
22/11/2016,"5.271,00"
21/11/2016,"5.343,00"
18/11/2016,"5.124,50"
17/11/2016,"5.089,30"
16/11/2016,"5.100,70"
15/11/2016,"5.106,30"
14/11/2016,"5.068,60"
11/11/16,"5.054,40"
10/11/16,"5.059,80"
9/11/16,"5.188,20"
8/11/16,"5.244,10"
7/11/16,"5.200,70"
4/11/16,"5.079,50"
3/11/16,"5.074,40"
2/11/16,"5.080,40"
28/10/2016,"5.129,20"
27/10/2016,"5.155,90"
26/10/2016,"5.199,40"
25/10/2016,"5.191,30"
24/10/2016,"5.164,40"
21/10/2016,"5.064,00"
20/10/2016,"5.033,70"
19/10/2016,"5.077,70"
18/10/2016,"5.001,70"
17/10/2016,"4.965,10"
14/10/2016,"4.915,50"
13/10/2016,"4.906,20"
12/10/16,"4.891,10"
11/10/16,"4.880,70"
7/10/16,"4.926,60"
6/10/16,"4.935,70"
5/10/16,"4.886,10"
4/10/16,"4.839,60"
3/10/16,"4.828,70"
30/09/2016,"4.821,80"
29/09/2016,"4.878,70"
28/09/2016,"4.881,50"
27/09/2016,"4.897,00"
26/09/2016,"4.922,20"
23/09/2016,"4.882,60"
22/09/2016,"4.908,50"
21/09/2016,"4.883,90"
20/09/2016,"4.872,10"
16/09/2016,"4.858,90"
15/09/2016,"4.902,50"
14/09/2016,"4.880,10"
13/09/2016,"4.832,40"
12/9/16,"4.815,60"
9/9/16,"4.828,80"
8/9/16,"4.839,70"
7/9/16,"4.858,50"
6/9/16,"4.910,60"
5/9/16,"4.879,40"
2/9/16,"4.847,10"
1/9/16,"4.807,10"
31/08/2016,"4.850,60"
30/08/2016,"4.872,30"
29/08/2016,"4.871,00"
26/08/2016,"4.837,20"
25/08/2016,"4.877,90"
24/08/2016,"4.883,00"
23/08/2016,"4.902,50"
22/08/2016,"4.870,90"
19/08/2016,"4.874,90"
18/08/2016,"4.860,80"
17/08/2016,"4.815,60"
16/08/2016,"4.845,30"
12/8/16,"4.859,40"
11/8/16,"4.785,30"
10/8/16,"4.745,60"
9/8/16,"4.752,10"
8/8/16,"4.751,90"
5/8/16,"4.737,50"
4/8/16,"4.765,60"
3/8/16,"4.765,60"
2/8/16,"4.780,50"
1/8/16,"4.796,50"
29/07/2016,"4.803,00"
28/07/2016,"4.814,70"
27/07/2016,"4.840,70"
26/07/2016,"4.862,40"
25/07/2016,"4.875,40"
22/07/2016,"4.876,10"
21/07/2016,"4.847,50"
20/07/2016,"4.913,60"
19/07/2016,"4.891,90"
18/07/2016,"4.820,50"
15/07/2016,"4.788,60"
14/07/2016,"4.804,70"
13/07/2016,"4.788,50"
12/7/16,"4.908,40"
11/7/16,"4.989,30"
8/7/16,"5.024,20"
7/7/16,"5.000,10"
6/7/16,"5.039,10"
5/7/16,"5.085,60"
4/7/16,"5.135,60"
1/7/16,"5.158,00"
30/06/2016,"5.048,10"
29/06/2016,"5.026,00"
28/06/2016,"4.977,90"
24/06/2016,"5.003,20"
23/06/2016,"5.044,10"
22/06/2016,"5.022,00"
21/06/2016,"5.025,10"
20/06/2016,"4.945,70"
17/06/2016,"4.896,20"
16/06/2016,"4.938,40"
15/06/2016,"4.887,00"
14/06/2016,"4.902,10"
13/06/2016,"4.935,10"
10/6/16,"4.954,10"
9/6/16,"4.943,40"
8/6/16,"4.861,90"
7/6/16,"4.986,00"
6/6/16,"4.980,00"
3/6/16,"4.966,20"
2/6/16,"4.886,00"
1/6/16,"4.895,90"
31/05/2016,"4.868,90"
30/05/2016,"4.870,00"
27/05/2016,"4.869,80"
26/05/2016,"4.874,90"
25/05/2016,"4.873,70"
24/05/2016,"4.875,60"
23/05/2016,"4.921,70"
20/05/2016,"4.914,20"
19/05/2016,"4.864,90"
18/05/2016,"4.994,80"
17/05/2016,"5.010,20"
16/05/2016,"5.002,00"
13/05/2016,"4.963,70"
12/5/16,"4.990,40"
11/5/16,"4.987,90"
10/5/16,"4.998,90"
9/5/16,"4.944,90"
6/5/16,"4.972,90"
5/5/16,"4.999,80"
4/5/16,"5.069,80"
3/5/16,"5.074,30"
2/5/16,"5.099,10"
29/04/2016,"5.113,10"
28/04/2016,"5.183,90"
27/04/2016,"5.104,10"
26/04/2016,"5.044,00"
25/04/2016,"5.088,30"
22/04/2016,"5.060,50"
21/04/2016,"5.123,50"
20/04/2016,"5.092,50"
19/04/2016,"5.051,40"
18/04/2016,"5.026,50"
15/04/2016,"4.887,60"
14/04/2016,"4.885,80"
13/04/2016,"4.842,40"
12/4/16,"4.724,50"
11/4/16,"4.692,60"
8/4/16,"4.692,10"
7/4/16,"4.600,20"
6/4/16,"4.616,90"
5/4/16,"4.656,30"
4/4/16,"4.690,30"
1/4/16,"4.664,50"
31/03/2016,"4.678,50"
30/03/2016,"4.694,20"
29/03/2016,"4.676,30"
28/03/2016,"4.595,20"
