Fecha,Último
12/8/15,"233,00"
11/8/15,"230,00"
10/8/15,"230,03"
7/8/15,"232,72"
6/8/15,"232,00"
5/8/15,"233,54"
4/8/15,"231,00"
3/8/15,"227,06"
31/07/2015,"230,09"
30/07/2015,"226,03"
29/07/2015,"229,67"
28/07/2015,"231,01"
27/07/2015,"241,00"
24/07/2015,"250,00"
23/07/2015,"250,11"
22/07/2015,"253,71"
21/07/2015,"260,00"
20/07/2015,"262,22"
17/07/2015,"262,85"
15/07/2015,"261,98"
14/07/2015,"259,98"
13/07/2015,"265,04"
10/7/15,"260,07"
9/7/15,"255,35"
8/7/15,"254,00"
7/7/15,"256,03"
6/7/15,"260,00"
3/7/15,"264,74"
2/7/15,"267,07"
1/7/15,"261,07"
30/06/2015,"264,95"
26/06/2015,"264,50"
25/06/2015,"264,58"
24/06/2015,"269,00"
23/06/2015,"271,75"
22/06/2015,"270,11"
19/06/2015,"266,43"
18/06/2015,"261,99"
17/06/2015,"267,00"
16/06/2015,"266,22"
15/06/2015,"269,00"
12/6/15,"270,78"
11/6/15,"274,16"
10/6/15,"274,17"
9/6/15,"271,35"
8/6/15,"276,16"
5/6/15,"276,51"
4/6/15,"280,07"
3/6/15,"287,74"
2/6/15,"285,00"
1/6/15,"293,91"
29/05/2015,"306,99"
28/05/2015,"311,95"
27/05/2015,"316,78"
26/05/2015,"307,30"
25/05/2015,"315,00"
22/05/2015,"316,40"
20/05/2015,"322,10"
19/05/2015,"324,41"
18/05/2015,"326,21"
15/05/2015,"328,86"
14/05/2015,"328,86"
13/05/2015,"340,85"
12/5/15,"338,96"
11/5/15,"343,00"
8/5/15,"333,00"
7/5/15,"329,00"
6/5/15,"332,00"
5/5/15,"330,00"
4/5/15,"326,42"
30/04/2015,"325,00"
29/04/2015,"325,04"
28/04/2015,"337,99"
27/04/2015,"343,91"
24/04/2015,"338,50"
23/04/2015,"328,50"
22/04/2015,"327,70"
21/04/2015,"329,40"
20/04/2015,"326,85"
17/04/2015,"324,00"
16/04/2015,"324,00"
15/04/2015,"321,00"
14/04/2015,"321,00"
13/04/2015,"322,00"
10/4/15,"319,55"
9/4/15,"314,20"
8/4/15,"307,63"
7/4/15,"304,74"
6/4/15,"304,00"
2/4/15,"301,44"
1/4/15,"298,24"
31/03/2015,"301,03"
30/03/2015,"302,89"
27/03/2015,"299,29"
26/03/2015,"305,00"
25/03/2015,"302,10"
24/03/2015,"300,64"
23/03/2015,"311,05"
20/03/2015,"312,81"
19/03/2015,"314,98"
18/03/2015,"319,96"
17/03/2015,"314,90"
16/03/2015,"297,40"
13/03/2015,"300,00"
12/3/15,"301,50"
11/3/15,"303,37"
10/3/15,"310,49"
9/3/15,"312,00"
6/3/15,"315,99"
5/3/15,"315,75"
4/3/15,"315,90"
3/3/15,"316,97"
2/3/15,"317,32"
27/02/2015,"308,43"
